poids kg,day,mouth,years,dmy,sport,end
115,28,2,2021,28/02/21,0,0
112.5,1,3,2021,01/03/21,1,0
111.8,2,3,2021,02/03/21,0,4
111.4,3,3,2021,03/03/21,1,3
111.1,4,3,2021,04/03/21,0,2
110.8,5,3,2021,05/03/21,1,1
110.6,6,3,2021,06/03/21,0,0
110.4,7,3,2021,07/03/21,1,0
110,8,3,2021,08/03/21,0,3
111.2,9,3,2021,09/03/21,1,2
110.8,10,3,2021,10/03/21,0,1
110.2,11,3,2021,11/03/21,1,2
110,12,3,2021,12/03/21,0,1
109.9,13,3,2021,13/03/21,0,0
109.4,14,3,2021,14/03/21,1,0
109.9,15,3,2021,15/03/21,0,3
110.4,16,3,2021,16/03/21,0,2
110.8,17,3,2021,17/03/21,0,2
109.7,18,3,2021,18/03/21,0,1
110.7,19,3,2021,19/03/21,0,2
110.1,20,3,2021,20/03/21,0,2
110.6,21,3,2021,21/03/21,0,2
110.4,22,3,2021,22/03/21,0,2
109.9,23,3,2021,23/03/21,0,1
110.6,24,3,2021,24/03/21,0,0
110.1,25,3,2021,25/03/21,0,0
109.4,26,3,2021,26/03/21,0,0
108.8,27,3,2021,27/03/21,0,1
109.5,28,3,2021,28/03/21,0,2
109.3,29,3,2021,29/03/21,0,3
109.1,30,3,2021,30/03/21,0,2
109.3,31,3,2021,31/03/21,0,2
109.2,1,4,2021,01/04/21,0,4
108.8,2,4,2021,02/04/21,0,2
107.9,3,4,2021,03/04/21,0,1
108.5,4,4,2021,04/04/21,0,1
110,5,4,2021,05/04/21,0,1
109.9,6,4,2021,06/04/21,0,1
109.3,7,4,2021,07/04/21,0,0
110,8,4,2021,08/04/21,0,0
109.5,9,4,2021,09/04/21,0,0
108.6,10,4,2021,10/04/21,0,0
108.9,11,4,2021,11/04/21,0,1
109.3,12,4,2021,12/04/21,0,1
108.9,13,4,2021,13/04/21,0,2
108,14,4,2021,14/04/21,0,3
107.9,15,4,2021,15/04/21,0,2
108.4,16,4,2021,16/04/21,0,1
107.6,17,4,2021,17/04/21,0,0
109.2,18,4,2021,18/04/21,0,0
108,19,4,2021,19/04/21,0,0
107.7,20,4,2021,20/04/21,0,0
,21,4,2021,21/04/21,0,0
,22,4,2021,22/04/21,0,0
,23,4,2021,23/04/21,0,0
106.4,24,4,2021,24/04/21,0,0
106.4,25,4,2021,25/04/21,0,0
106.4,26,4,2021,26/04/21,0,0
106.6,27,4,2021,27/04/21,0,0
106.3,28,4,2021,28/04/21,0,0
106.5,29,4,2021,29/04/21,0,0
106.2,30,4,2021,30/04/21,0,0
105.3,1,5,2021,01/05/21,0,0
106.5,2,5,2021,02/05/21,0,1
107.1,3,5,2021,03/05/21,0,1
106.5,4,5,2021,04/05/21,0,1
106.2,5,5,2021,05/05/21,0,2
105.8,6,5,2021,06/05/21,0,2
105.7,7,5,2021,07/05/21,0,2
106.2,8,5,2021,08/05/21,0,1
106.9,9,5,2021,09/05/21,0,0
106.7,10,5,2021,10/05/21,0,0
106.5,11,5,2021,11/05/21,0,0
106.8,12,5,2021,12/05/21,0,1
107,13,5,2021,13/05/21,0,0
106.8,14,5,2021,14/05/21,0,0
106.1,15,5,2021,15/05/21,0,0
105.8,16,5,2021,16/05/21,0,0
106.4,17,5,2021,17/05/21,0,0
106.1,18,5,2021,18/05/21,0,0
106.1,19,5,2021,19/05/21,0,0
105.9,20,5,2021,20/05/21,0,0
105.6,21,5,2021,21/05/21,0,0
105.4,22,5,2021,22/05/21,0,0
105.3,23,5,2021,23/05/21,0,0
105.2,24,5,2021,24/05/21,0,0
105.6,25,5,2021,25/05/21,0,0
105.7,26,5,2021,26/05/21,0,0
105.1,27,5,2021,27/05/21,0,0
104.9,28,5,2021,28/05/21,0,0
104.5,29,5,2021,29/05/21,1,0
104.7,30,5,2021,30/05/21,0,3
104.3,31,5,2021,31/05/21,0,2
103.7,1,6,2021,01/06/21,0,0
104,2,6,2021,02/06/21,1,3
103.9,3,6,2021,03/06/21,0,2
103.9,4,6,2021,04/06/21,0,0
103.7,5,6,2021,05/06/21,0,0
103.9,6,6,2021,06/06/21,0,0
103.7,7,6,2021,07/06/21,0,0
103.9,8,6,2021,08/06/21,0,0
103.6,9,6,2021,09/06/21,0,0
103.4,10,6,2021,10/06/21,0,0
103.3,11,6,2021,11/06/21,0,0
102.7,12,6,2021,12/06/21,0,0
103.3,13,6,2021,13/06/21,0,0
102.5,14,6,2021,14/06/21,0,0